Wall time,Step,Value
1674619554.1502302,0,0.009214743971824646
1674619910.6182387,50,0.04407051205635071
1674620263.145679,100,0.1703725904226303
1674620616.8118014,150,0.3268229067325592
1674620970.8309755,200,0.4618389308452606
1674621324.4165099,250,0.5582932829856873
1674621677.9798691,300,0.6116786599159241
1674622031.5620165,350,0.6544471383094788
1674622385.4787128,400,0.6783854365348816
1674622738.7695851,450,0.7081330418586731
1674623091.6789143,500,0.7200520634651184
1674623443.743859,550,0.7342748641967773
1674623795.3472755,600,0.7383813858032227
1674624147.0826266,650,0.7419871687889099
1674624498.870197,700,0.7497996687889099
1674624850.5908556,750,0.7564102411270142
1674625202.2810717,800,0.7573117017745972
1674625553.6073487,850,0.7638221383094788
1674625904.8888571,900,0.7624198794364929
1674626256.88349,950,0.7661257982254028
1674626610.1991713,1000,0.7583132982254028
1674626963.6376767,1050,0.76171875
1674627316.9973316,1100,0.7622195482254028
1674627670.9094543,1150,0.7627203464508057
1674628024.433286,1200,0.7640224099159241
1674628377.674413,1250,0.7604166865348816
1674628731.5655513,1300,0.7637219429016113
1674629084.416977,1350,0.7628205418586731
1674629437.0420516,1400,0.7605168223381042
1674629790.2136767,1450,0.7618188858032227
1674630143.2208927,1500,0.7602163553237915
1674630496.0135832,1550,0.7602163553237915
1674630848.8442504,1600,0.7612179517745972
1674631201.6217065,1650,0.7619190812110901
1674631554.4982376,1700,0.7630208134651184
1674631907.4180431,1750,0.7586137652397156
1674632260.0898216,1800,0.7631210088729858
1674632613.574961,1850,0.7614182829856873
1674632967.4344785,1900,0.7614182829856873
1674633391.5368001,1950,0.7625200152397156
1674634057.514918,2000,0.762620210647583
