Wall time,Step,Value
1674629276.231219,0,0.009214743971824646
1674629802.9260762,50,0.20272435247898102
1674630328.078733,100,0.4329927861690521
1674630855.8761158,150,0.43199118971824646
1674631385.1547005,200,0.5557892918586731
1674631912.5865672,250,0.6087740659713745
1674632432.4719498,300,0.625
1674632958.005808,350,0.6996194124221802
1674633482.9991238,400,0.7249599099159241
1674634009.0159373,450,0.725661039352417
1674634534.1243541,500,0.7251602411270142
1674635055.1808941,550,0.7240585088729858
1674635576.628168,600,0.7227563858032227
1674636096.59097,650,0.7240585088729858
1674636626.0917604,700,0.7242588400840759
1674637155.5493233,750,0.7243589758872986
1674637679.7673228,800,0.7238581776618958
1674638205.3014095,850,0.7233573794364929
1674638727.7088797,900,0.7238581776618958
1674639251.775689,950,0.7240585088729858
1674639771.7661753,1000,0.7250601053237915
1674640307.3660982,1050,0.7236578464508057
1674640836.3864775,1100,0.7241586446762085
1674641360.651788,1150,0.7244591116905212
1674641903.3032658,1200,0.7238581776618958
1674642436.1918168,1250,0.7233573794364929
1674642962.1580303,1300,0.7231570482254028
1674643487.0547383,1350,0.7225561141967773
1674644007.7471938,1400,0.7225561141967773
1674644534.0508847,1450,0.7230569124221802
1674645062.328699,1500,0.7232571840286255
1674645587.895633,1550,0.7228565812110901
1674646112.3087249,1600,0.7241586446762085
1674646634.7420206,1650,0.7230569124221802
1674647156.524549,1700,0.7227563858032227
1674647682.7826517,1750,0.7234575152397156
1674648224.0252242,1800,0.7237580418586731
1674648757.5813925,1850,0.7225561141967773
1674649291.365398,1900,0.7242588400840759
1674649823.4068139,1950,0.7223557829856873
1674650355.1697388,2000,0.7223557829856873
1674652327.9463027,2050,0.7225561141967773
1674652851.61296,2100,0.7237580418586731
1674653755.0443714,2150,0.7230569124221802
1674655669.8734891,2200,0.7214543223381042
1674656177.821337,2250,0.7231570482254028
1674658511.7412477,2300,0.7228565812110901
1674659058.2654839,2350,0.723557710647583
1674661925.162806,2400,0.7227563858032227
1674664594.5407696,2450,0.7234575152397156
1674668012.7206647,2500,0.7227563858032227
1674675515.3921945,2550,0.7231570482254028
1674683349.4891477,2600,0.72265625
1674697592.0470269,2650,0.7220553159713745
1674712059.9909987,2700,0.72265625
1674726429.3793864,2750,0.7232571840286255
